4128,32767,-648,32767,4712,-7992,5
3308,32767,9496,32767,5344,-8532,5
-2592,32767,7664,32767,4552,-8560,5
344,32767,1764,32767,6584,-7828,5
1724,32767,-3260,32767,9472,-7272,5
4760,31488,-3756,32767,9920,-6568,5
5584,26772,-1812,27804,7552,-5636,5
4316,22600,40,23132,5264,-3524,5
1332,17980,-132,17076,3456,-872,5
-88,12116,244,10472,3256,1228,5
-728,4932,-32,3748,4272,1572,5
-1136,-1284,-1472,-1992,4576,2088,5
-2116,-5616,-2620,-5372,4080,2292,5
-1688,-7608,-3036,-7416,280,3148,5
-640,-6784,-2508,-4016,2352,1472,5
928,-4012,-2908,-2700,2100,640,5
1744,-1668,-2660,-1268,2264,-8,5
1892,-632,-1588,-352,3688,-660,5
1284,-300,-380,500,3868,-708,5
1116,-316,852,1160,2744,-716,5
432,-496,536,2172,1872,-860,5
-40,-1172,-224,1760,872,-736,5
-460,-952,-656,1432,-396,-828,5
-632,1312,-456,2976,-156,-476,5
516,4928,1412,6216,-500,-1168,5
1152,10532,3180,12592,-168,-2708,5
712,16760,4768,23044,596,-6776,5
7116,32404,7296,32767,960,-12372,5
-2220,32767,-2748,32767,2368,-18612,5
-6532,32767,-4944,32767,6936,-11608,5
3664,32767,-2084,32767,12224,-10072,5
4508,32767,6936,32767,10504,-11908,5
2120,32767,9128,32767,8848,-9920,5
324,32767,780,32767,10432,-5024,5
-2708,32767,-560,32767,12712,-2384,5
-756,17920,-2684,19948,7576,612,5
2988,11724,-2040,15944,4768,-288,5
4824,6904,584,9140,2844,212,5
3560,2912,232,2012,44,2864,5
2900,-1596,-1408,164,-2024,6668,5
3312,-5980,-3268,-624,2720,5332,5
1828,-8500,-4296,-1004,2356,3832,5
-184,-7528,-3956,-1792,2052,2860,5
-228,-3180,-2560,-2220,2476,2504,5
-836,1120,628,-1900,-344,1792,5
-848,2848,2232,-516,1288,936,5
40,1120,244,320,560,96,5
708,-1388,-1992,-464,636,0,5
296,-2356,-2148,-316,1380,-216,5
-48,-1480,-180,-276,2668,-88,5
-744,124,1680,1120,3416,-52,5
-536,1260,1004,2332,2244,-460,5
132,3700,320,4220,1640,-756,5
336,7804,724,9244,3628,-1080,5
-772,14204,3888,19456,4716,-4924,5
1080,28660,9432,32767,5164,-9896,5
4712,32767,-1036,32767,1244,-17684,5
-12668,32767,-6920,32767,4208,-11128,5
-1736,32767,-3248,30136,7316,-7812,5
10064,32767,6272,32767,8200,-8732,5
2364,32767,9324,32767,5964,-11156,5
1952,32767,5100,32767,6480,-8332,5
3572,32767,-2064,32767,10860,-5124,5
1784,32767,-888,32767,12884,-4460,5
1420,28616,1796,26840,9516,-3660,5
1832,21784,-208,20836,5636,-1956,5
1636,15728,-1248,15784,3652,356,5
664,9588,-624,10380,2120,2128,5
-32,3260,280,3384,1216,3708,5
716,-2964,-824,108,2032,4332,5
1180,-7328,-2340,-4508,4340,5948,5
-404,-9576,-2364,-3564,3884,5896,5
-272,852,-256,16,1024,3080,5
724,1148,-544,296,1484,2260,5
284,-1572,-1448,2524,2608,1512,5
-788,-1048,-1104,2740,2256,1176,5
-856,-1100,-1360,1880,1776,1332,5
-40,-228,-2228,1192,1532,1196,5
212,892,-2056,2376,2072,1160,5
360,4040,512,6484,3148,1336,5
820,9256,820,11816,3012,-1360,5
1432,15484,984,20084,3696,-6000,5
-12,30864,5320,31084,4492,-9836,5
228,32767,-1372,32767,5460,-12772,5
-12892,32767,-6012,32767,8664,-10056,5
-6108,32767,1044,32767,7668,-9344,5
3444,32767,6792,32767,7220,-10512,5
1024,32767,7064,32767,5700,-10600,5
1608,32767,3408,32767,6536,-7420,5
4500,32767,-1652,32767,10300,-6488,5
3880,32767,-1284,32767,12900,-5868,5
2072,29332,1124,28800,10048,-4668,5
988,23424,352,23592,6780,-3100,5
392,18552,-576,18496,6004,-348,5
-480,13940,-200,13164,5420,1732,5
412,7716,-100,5612,1992,3024,5
468,604,-1408,2068,6004,1208,5
504,-5364,-3576,-2228,6336,2552,5
240,-9288,-3192,-2972,5144,3872,5
-652,-10276,-2756,-2656,3700,3316,5
-268,-6568,-3316,-1016,2100,2792,5
608,-1436,-1636,-772,-108,2596,5
1268,1604,816,-52,-512,2788,5
1436,2936,1376,184,760,2032,5
1200,2392,12,20,204,1648,5
1312,436,-1528,428,952,736,5
1128,-1132,-2464,1636,1196,192,5
408,-1972,-2460,1816,880,200,5
-624,-504,-1716,2024,572,60,5
-1128,2152,-1308,3004,888,-288,5
-252,5736,100,5160,1696,-996,5
-208,9820,272,8660,2004,-2588,5
1064,21296,44,25492,5488,-8724,5
1216,32767,-3252,32767,8612,-11248,5
-4696,32767,1976,32767,11488,-10728,5
-256,32767,2656,32767,10724,-8888,5
-836,32767,-556,32767,5564,-6996,5
3428,32767,188,32767,7980,-3668,5
3176,32767,3824,32767,8904,-2816,5
1780,32767,3484,29504,8344,-1444,5
796,24960,636,24188,6468,-148,5
696,17624,-1684,19016,3780,-76,5
-84,12248,-1528,12064,1336,-792,5
-968,3420,-2804,3876,856,-468,5
-156,-2556,-1196,-1324,1572,3904,5
692,-6632,-1352,152,-668,7724,5
788,-8752,-2332,-2348,4748,7936,5
-340,-8532,-3568,-2152,5480,4632,5
80,-4300,-4512,-3060,4860,2352,5
2204,-12,-2632,-2780,3668,596,5
2300,1836,572,-1060,3220,-476,5
1496,1456,1544,244,2164,-1308,5
500,-76,716,1380,1672,-1192,5
-420,-1144,-768,1088,620,-1456,5
-156,-1924,-1040,216,216,-1204,5
-220,-2544,-1052,-808,1112,-1472,5
-40,-1108,-1548,-804,2128,-1392,5
360,1448,-1640,1288,2944,-1744,5
1324,4744,760,4848,2712,-2540,5
1524,9472,4608,9712,2692,-3196,5
1468,16536,6204,19056,3188,-5724,5
4420,30440,8688,32767,4356,-10864,5
7788,32767,-4980,32767,5768,-17324,5
-8092,32767,-11580,32767,10288,-10828,5
-1260,32767,-9264,31512,10356,-8896,5
4436,32767,5872,32767,9516,-9208,5
704,32767,13764,32767,7740,-9452,5
-1556,32767,6080,32767,7276,-4744,5
4560,32767,-3760,32767,10476,-3512,5
7084,31208,-6308,32767,14432,-3616,5
3800,26104,-1044,25480,11556,-4464,5
996,20708,3612,20112,8136,-4020,5
-1348,15272,3064,16212,1564,172,5
-1456,8220,496,11972,-2608,5288,5
-932,1804,-628,6352,980,6448,5
-388,-3084,-1436,892,4952,4196,5
-384,-5564,-2504,-2244,4160,3916,5
432,-5960,-2456,-7088,248,3856,5
952,-4808,-2248,-3320,3144,1856,5
804,-2160,-1252,-464,2000,708,5
936,16,-916,-584,-216,-760,5
1344,428,-1456,-1396,-1780,-1812,5
2292,-780,-2576,-2536,-752,-1888,5
1764,-1700,-2748,-1648,664,-1864,5
76,-1532,-948,-148,2248,-1564,5
-1304,-612,360,792,1596,-1572,5
-1092,-288,288,684,324,-1956,5
-196,576,-520,400,104,-1784,5
228,1840,-384,1416,220,-1664,5
1108,4756,624,3996,1224,-1176,5
220,9308,1572,10016,4072,-92,5
548,13764,4380,20480,3400,-3880,5
2492,26744,11664,32767,840,-11244,5
4396,32767,48,32767,1984,-19372,5
-12756,32767,-10860,32767,7664,-13028,5
-3144,32767,-1092,32400,13428,-8912,5
8312,32767,7868,32767,13248,-9848,5
4040,32767,7528,32767,10364,-10172,5
820,32767,3832,32767,9224,-5552,5
628,32767,1912,32767,13136,-5708,5
-628,32767,3576,31408,13652,-5272,5
484,27444,1136,24444,11752,-3244,5
1604,18832,-3120,19708,8160,-1108,5
3648,12448,-3260,15052,4180,-916,5
3956,5956,-548,7696,828,-692,5
2608,-812,900,-532,888,976,5
-476,-5392,-860,-3776,2784,3244,5
-1456,-9084,-2700,-4616,2300,3844,5
-580,-10484,-3668,-4076,-2252,2748,5
276,-7688,-2944,-5604,-3608,1536,5
-464,-1452,-952,-2628,-112,104,5
-916,1844,472,-1192,216,-792,5
-872,2132,-424,-164,1244,-1352,5
-300,-108,-2600,-336,1276,-2228,5
484,-2472,-2948,-580,-100,-1824,5
460,-2512,-964,-164,1728,-704,5
80,-576,1248,896,3600,392,5
-316,1700,1056,784,1504,136,5
-576,2464,-976,1984,-4,-1036,5
-408,3500,-852,4240,1116,-1560,5
-668,8760,1552,8540,3032,-1380,5
-196,14304,2452,17888,4920,-2704,5
2192,24444,6040,31776,5576,-8368,5
7180,32767,1316,32767,5584,-15952,5
-4604,32767,-12228,32767,6344,-13652,5
-3304,32767,-8092,28300,6224,-9844,5
4288,32767,6936,32767,8940,-8424,5
4232,32767,12124,32767,10508,-11044,5
3172,32767,6472,32767,8780,-8432,5
5948,32767,-1336,32767,9704,-7008,5
2500,32767,-4184,32767,9992,-6464,5
-1052,29124,12,25332,9280,-4428,5
-1424,23456,3012,20176,7528,-2908,5
-1500,17280,2392,16124,4996,-1828,5
-664,8160,-168,9828,2640,-108,5
1528,1444,-976,1764,-216,2964,5
2048,-3756,-1600,-1612,-252,5332,5
1044,-7784,-1652,-1464,-864,4428,5
-192,-8508,-960,-1980,-2040,4004,5
-456,-5780,-1240,-872,688,2260,5
176,-2052,-1768,-1384,1452,792,5
484,-416,-1400,-1640,2420,-788,5
480,372,-884,-1176,1672,-1352,5
176,-16,-1816,-556,1268,-760,5
984,-1504,-2908,676,1680,-720,5
1536,-2852,-1468,-40,1232,-1236,5
704,-2380,-620,-1184,-76,-2240,5
-524,-1040,-744,-1056,552,-2260,5
-1744,88,-2064,-236,1168,-1140,5
-2152,1936,-3436,3540,1624,-448,5
-1568,3500,-2112,9356,904,-900,5
-876,9132,-360,16200,-1288,-3208,5
976,15880,740,24012,-1212,-6756,5
2132,28256,1880,32767,1876,-9876,5
2000,32767,1232,32767,6032,-12224,5
-9724,32767,-2588,32767,5692,-13084,5
-3256,32767,-6264,32767,4456,-15032,5
6044,32767,-1776,32767,4104,-15420,5
-76,32767,3508,32767,6632,-12168,5
616,32767,-2888,32767,10580,-6980,5
5220,32767,-7208,32767,11092,-3848,5
5572,30540,-3068,30640,8892,-2000,5
3260,25548,252,23460,6704,-808,5
328,19564,-128,16100,4536,352,5
-288,12880,1508,8752,2544,984,5
-308,5276,1936,1260,920,660,5
-1192,-1528,-1344,-2760,504,972,5
-2260,-8116,-5440,-3956,1752,1636,5
-1360,-13928,-5816,-3248,1628,1068,5
-1708,-12820,-5888,-2708,208,-576,5
1056,-5960,-4508,-2164,136,-1580,5
2360,872,672,-1024,1324,-2088,5
2356,3820,2328,248,1684,-2140,5
1884,1932,188,960,2092,-2024,5
952,-1028,-2008,1120,2396,-1884,5
712,-2316,-1668,516,2232,-952,5
-4,-1368,-108,-144,1704,396,5
-1444,-528,756,0,1760,1308,5
-428,684,260,1636,1520,1552,5
132,2324,40,3524,452,1008,5
1976,5516,800,7132,632,480,5
2808,9600,1920,12752,1956,-272,5
2940,16560,2156,21088,2716,-3652,5
6196,32767,5848,32767,4400,-8712,5
5788,32767,-3744,32767,5876,-15160,5
-2032,32767,-9120,32767,5660,-11908,5
2584,32767,-4964,32767,5232,-10204,5
5280,32767,9208,32767,3588,-10888,5
-1288,32767,9956,32767,2692,-8792,5
-300,32767,-732,32767,5460,-2788,5
6104,32767,-3712,32767,8652,-2188,5
5812,32767,4648,32767,7304,-3624,5
4320,29064,3960,26248,5256,-3728,5
140,19496,-1448,19468,4232,-1260,5
-332,11468,-2572,13036,4672,660,5
408,4736,-468,5204,3956,1188,5
-632,108,296,-2896,844,1176,5
-1156,-4200,-1896,-4184,3028,992,5
-684,-8804,-4328,-4692,4304,1112,5
188,-10868,-4384,-2116,2136,1652,5
664,-6924,-3584,-604,1696,1084,5
1344,-840,-232,-532,944,-680,5
2068,2440,1312,-920,1092,-2900,5
1740,1428,-484,-948,1568,-2992,5
1668,-488,-1896,740,1880,-2288,5
480,-1460,-2096,1764,2532,-1108,5
-624,-752,284,1072,2184,-344,5
-780,408,1804,-636,1856,436,5
716,-464,-628,-640,1844,252,5
768,736,-636,2064,72,-156,5
1228,3360,1132,6200,-4,-436,5
1332,6492,1972,12448,1996,-508,5
1128,11704,3356,20692,80,-1296,5
1672,23028,6960,29736,-980,-5476,5
9048,32767,1392,32767,2788,-15260,5
-6520,32767,-6624,32767,7964,-16080,5
-7364,32767,-2540,32767,7356,-12560,5
1200,32767,4424,32767,7772,-14620,5
4104,32767,7416,32767,5848,-12652,5
1672,32767,3708,32767,10336,-6304,5
1172,32767,4012,32767,11420,-3996,5
-980,32767,3948,30192,9844,-4536,5
-2256,28276,1368,23464,8180,-3916,5
-1980,20020,-80,17040,6448,-1796,5
196,10488,-984,11604,3976,-480,5
2780,3164,-832,6724,1192,960,5
3876,-3260,-2212,-260,1232,768,5
3964,-8552,-4012,-4760,4184,1320,5
4336,-11944,-4696,-4836,5368,2000,5
1556,-9880,-3704,-2308,2676,1172,5
