-648,-2684,-2132,-1012,-824,-964,5
-872,-584,-1712,-260,-376,-1508,5
-352,372,-1124,420,-300,-1860,5
272,-448,-664,796,-308,-1856,5
260,-1924,-1700,124,-1184,-1644,5
552,-2780,-1768,-672,-1252,-1220,5
428,-2384,-1576,-692,-304,-1008,5
320,-1856,-1260,-264,32,-736,5
416,-1244,-576,300,-100,-868,5
-168,132,-660,1036,-440,-1616,5
-392,2656,-2172,3264,-112,-2472,5
-768,6896,-1692,8580,796,-3144,5
4,13244,4572,16616,3196,-4360,5
28,22972,10336,24248,4500,-6656,5
2116,32767,3344,32767,5000,-8936,5
5556,32767,-10284,32767,7260,-11648,5
2224,32767,-4424,32767,7528,-11636,5
3144,30040,4676,32767,6680,-8188,5
1848,28648,-388,32767,7704,-7164,5
1072,32767,3692,32767,10520,-6216,5
3412,32767,16256,32767,12772,-5776,5
2748,32767,7716,32767,12312,-7220,5
4296,32767,-464,32767,9944,-8776,5
4500,32767,-1884,32767,9044,-8608,5
336,32767,1680,32767,3732,-6048,5
-460,30348,-1528,30364,7756,-3704,5
1876,22672,-2728,23724,9348,-1888,5
960,16788,-2044,16340,9260,-840,5
48,10728,-2176,9512,9284,432,5
-964,3912,-2560,2984,4964,2316,5
-924,-2876,-2436,-252,980,2552,5
848,-6740,-2452,-2624,-1552,3200,5
1940,-8856,-316,-4036,-1936,2508,5
3280,-7832,-1548,-2768,2112,864,5
548,-3700,-3340,-1088,600,212,5
-1696,268,-2016,160,-404,-792,5
-2752,4104,968,928,-156,-988,5
-1816,3864,860,1308,-412,-1224,5
292,1008,-480,992,-292,-1608,5
1584,-1216,-604,36,-564,-1532,5
1652,-2556,-488,-552,-196,-1368,5
1040,-3364,-484,-612,136,-1024,5
536,-3528,-1500,-472,496,-888,5
-88,-2584,-1292,192,300,-1084,5
-112,200,-1072,2036,844,-1688,5
-336,4812,-1376,5788,1312,-2372,5
-208,10552,1196,12308,2688,-3748,5
956,19752,9576,20268,5076,-5824,5
96,32092,10212,29720,7220,-7332,5
3248,32767,-3924,32767,9968,-9768,5
4108,32767,-11264,32767,9360,-11016,5
2084,32767,700,32767,6552,-9024,5
2488,24308,-652,32767,6068,-8072,5
2280,32767,2044,32767,8040,-6152,5
948,32767,16604,32767,11600,-5200,5
1912,32767,10980,32767,15332,-5060,5
3776,32767,3524,32767,9972,-7612,5
844,32767,-1392,32767,6996,-9028,5
-3008,32767,-3780,32767,6368,-8748,5
2136,32248,-2060,31596,4100,-6648,5
3472,28108,-320,28052,7828,-4484,5
2472,22256,-660,22160,8784,-2196,5
1180,14964,-1564,15508,7840,-972,5
428,7500,-3200,7140,5896,732,5
64,620,-2628,108,2488,2020,5
828,-4908,-1700,-2952,-152,2968,5
1264,-7952,-888,-2560,-1520,2620,5
2488,-9352,624,-2596,-1588,2048,5
1344,-5904,-2676,-1896,-232,720,5
-160,-1336,-2204,92,-360,-76,5
-2200,3256,520,860,-1232,-668,5
-2860,5112,1876,912,-1912,-872,5
-952,2448,44,648,-1256,-1040,5
176,-140,-420,152,-404,-1096,5
792,-2040,-336,-56,16,-984,5
