588,3888,-3152,12012,5152,-3708,5
1024,4908,-1888,12012,6464,-3560,5
620,7764,440,11688,6952,-3396,5
1108,11580,3156,11364,7264,-2920,5
1832,14676,5000,11136,7124,-2812,5
3008,16520,5180,10688,6984,-2580,5
3456,16540,3772,10008,6892,-2608,5
3892,16080,2496,9712,7164,-2692,5
3224,15532,1620,10248,7448,-3004,5
2076,14700,1456,11148,7708,-3020,5
1284,13904,1380,11912,7580,-2824,5
744,12672,1160,12272,7192,-2660,5
296,11780,1096,12052,6752,-2240,5
248,11052,1016,11632,6328,-1772,5
308,10492,940,10916,6060,-1512,5
732,9876,704,10644,5692,-1468,5
1036,9600,148,10340,5056,-1244,5
1088,10020,4,10492,5224,-1444,5
1596,10400,212,10688,5096,-1460,5
1724,11216,700,10708,4520,-1620,5
2004,12808,1600,10868,4116,-1768,5
2128,14484,2972,11448,4184,-1984,5
2388,15860,4068,12832,4728,-2576,5
2716,17044,5192,14468,5580,-3168,5
2700,18996,5972,16508,6328,-3484,5
2648,20588,5568,18864,7224,-3584,5
2880,20916,4172,20208,7708,-3452,5
2880,21404,3756,21464,7632,-3712,5
3360,23644,4296,24128,7596,-3780,5
3356,28368,5460,27592,7780,-4056,5
3360,32767,5988,32744,8340,-4656,5
3036,32767,6448,32767,9308,-5504,5
2120,32767,6288,32767,11780,-5072,5
576,32767,6028,32767,13084,-3680,5
360,32388,5668,32767,10932,-2440,5
484,29972,5768,30084,8260,-1564,5
736,27664,5008,25608,6684,-812,5
-2052,23580,1884,21204,6104,-140,5
-304,17920,252,17608,6372,140,5
1908,11488,-352,13860,6564,464,5
2704,5276,-1876,8956,5480,572,5
3580,20,-2420,4456,4180,776,5
4496,-4116,-2688,644,2764,1132,5
4408,-6820,-2064,-1760,1924,1024,5
2336,-8156,-1460,-2816,1820,572,5
1732,-7620,-2496,-2836,1736,552,5
1448,-4536,-3704,-1988,2212,416,5
1148,-4,-3088,-1064,2188,176,5
164,3048,-88,-576,2268,-232,5
-996,4756,2792,-404,2168,-320,5
-2048,4344,4076,240,2404,-356,5
-1904,2708,3340,908,2280,-224,5
-1236,3748,880,1980,2104,-788,5
-228,5864,-84,5092,1932,-1212,5
888,10440,832,10996,3488,-2464,5
1960,15812,4192,18136,5556,-4576,5
2032,27996,10052,26448,6324,-5832,5
7616,32767,4612,32767,8032,-8304,5
-8296,32767,-4728,32767,10700,-8868,5
1024,32767,3524,32767,14068,-10664,5
4652,29580,7064,32767,17396,-9276,5
7360,20392,6596,32767,13452,-4744,5
-1432,22768,9984,15212,10796,3536,5
956,22940,11180,11404,12572,5512,5
2640,19724,9648,12260,12128,6112,5
1740,15596,4488,12568,10028,4668,5
1092,10532,96,11912,8012,2724,5
1324,6188,-2076,11276,5284,420,5
760,3608,-2632,10916,3300,-2492,5
336,4084,-1256,11372,3628,-4732,5
-184,6448,700,12864,5024,-5996,5
-472,9792,3004,14152,4928,-6656,5
-936,12820,4460,14756,4784,-6048,5
-960,14696,4780,14292,5076,-4720,5
-52,15976,4024,14044,5312,-3848,5
1076,16448,3284,13612,5584,-2784,5
1672,16292,2544,13412,5608,-2152,5
1792,15648,2476,12632,5780,-1808,5
1548,15024,3100,12212,6160,-1724,5
1460,14012,3452,11976,6732,-2100,5
1448,13316,3584,11544,6880,-2304,5
1464,12692,3528,11092,6836,-2440,5
1608,12540,3284,11276,6304,-2604,5
1708,12648,2852,11800,6140,-2680,5
1884,12956,2624,12380,5912,-2760,5
2080,12976,2172,13064,5536,-2576,5
2044,12604,1660,13796,5208,-2492,5
1712,11180,940,13804,4804,-2344,5
1340,10344,604,12800,4352,-1840,5
676,10368,848,11452,4028,-1096,5
408,10664,1680,10400,3824,-824,5
68,10828,2684,9376,3808,-376,5
240,11496,3248,9296,3700,-204,5
604,13048,4120,10824,3712,-296,5
1304,15008,4852,13752,4532,-852,5
2076,16320,5276,17176,6512,-1344,5
2944,18420,5572,20564,8920,-2108,5
4084,22960,5412,22516,9932,-2508,5
4440,26256,4540,23120,10532,-2736,5
4364,26844,4568,24024,10496,-2928,5
4328,26992,5104,24976,9780,-3540,5
4208,29488,5532,27020,9628,-3620,5
3000,32767,6356,30136,11092,-3752,5
1672,32767,5996,32767,13796,-4136,5
-888,32767,6624,32767,15988,-4124,5
-3644,32767,7456,32767,16524,-4096,5
-4144,32767,7052,32767,15072,-3692,5
-2944,30628,5964,29028,12880,-3404,5
-1088,25872,4140,23912,10376,-2040,5
1784,19808,600,19172,8880,-448,5
3120,12772,-2484,13900,7184,912,5
4652,4576,-3860,7632,5488,1772,5
4768,-2012,-1364,2172,4388,2012,5
3804,-6688,1444,-1728,3176,1136,5
2964,-9616,2100,-3780,1064,904,5
1440,-10172,-1304,-3924,728,540,5
536,-9852,-6416,-2504,1240,-108,5
1164,-7068,-9092,-1036,1604,-780,5
1668,-2008,-7172,-32,1920,-1288,5
1048,2596,-1580,180,2204,-2056,5
492,5644,4764,108,2464,-2260,5
1036,7144,9560,-204,2908,-2196,5
-808,6312,8428,-108,3292,-1856,5
-1812,3748,5924,200,3252,-1864,5
-1464,4396,1100,1584,2940,-2000,5
-608,5776,-1172,4884,3440,-2900,5
300,10728,-2140,9744,4240,-3568,5
2172,17356,1488,18472,9096,-4468,5
3956,32767,5776,32767,18684,-6316,5
7296,32767,4148,32767,19140,-9444,5
-5896,32767,3864,32767,11420,-7608,5
568,32767,7192,32767,9964,-5056,5
3416,26444,6064,32767,9560,-2636,5
7084,20604,5620,30808,8448,0,5
4748,20100,5348,23228,5800,1944,5
1496,21140,5892,17396,5184,2416,5
2652,20924,6636,14276,6760,1512,5
4016,18724,6916,12636,8528,612,5
4068,15412,6280,11680,7780,-240,5
3184,11788,3636,11948,7060,-1420,5
1744,9036,1152,12644,6384,-2908,5
692,7240,-448,13144,6676,-3816,5
-276,7208,-1132,13264,6920,-4192,5
-576,8808,-272,13208,7000,-4220,5
-348,11484,1476,12692,6456,-3480,5
160,14356,3192,11976,6240,-3100,5
724,16604,4660,11500,5812,-2500,5
1644,17824,4760,11208,5532,-2352,5
2744,17360,3736,11568,5756,-2304,5
2704,16420,2844,12004,6192,-2480,5
2284,15288,2164,12468,6676,-2524,5
1652,14588,1900,12792,7164,-2652,5
1252,13848,2076,13100,7104,-2360,5
1212,12896,2164,12716,6936,-2088,5
1056,11968,2448,12196,6688,-1780,5
1248,12052,2312,11628,6332,-1744,5
1720,13100,2284,11392,6104,-1848,5
1876,14244,2660,11744,6100,-2316,5
2140,14740,2820,12524,6340,-2688,5
1812,13472,1832,12848,6236,-2700,5
1176,11256,256,12516,6152,-2488,5
736,9192,-580,11408,5404,-2196,5
384,8496,-600,9800,4484,-1924,5
-980,11152,1824,8940,3400,-2380,5
-320,13480,3376,10444,3384,-2920,5
648,15728,4672,13080,3832,-3256,5
1236,18064,5424,16684,5032,-3964,5
2140,21196,4608,19800,6664,-4372,5
2752,23744,2524,22260,7904,-4764,5
2528,25160,2440,24688,8616,-5116,5
1712,25880,3416,26884,8420,-5424,5
1080,26756,3472,28160,7832,-5280,5
832,28320,2960,28660,7180,-5108,5
1020,31128,3564,30512,8192,-4420,5
956,32767,4780,32767,10208,-3396,5
996,32767,6416,32767,11540,-2576,5
-448,32767,7440,32767,10868,-2400,5
-1056,32767,7228,32767,9300,-2428,5
-1880,24676,1068,27732,7312,-2200,5
-440,18660,-224,22064,6456,-1836,5
820,12888,-680,16640,5692,-888,5
2552,8388,-644,10604,4504,-52,5
3596,4588,-372,4072,3676,976,5
3776,1048,740,52,3504,1376,5
2372,-2936,1828,-2444,3744,888,5
1052,-4812,2616,-3772,3244,436,5
400,-5172,428,-4132,3196,-60,5
832,-3660,-3344,-3592,3356,-360,5
1628,-896,-4528,-3144,2880,-884,5
924,1736,-3008,-2836,2512,-1172,5
-480,3268,732,-2696,2288,-1680,5
-1472,3320,3892,-2284,2280,-2228,5
-988,1708,4180,-1704,2104,-2520,5
-940,264,3528,-424,2064,-2760,5
-372,1148,904,1420,2268,-2848,5
576,3868,-2512,4116,2544,-3536,5
2008,8740,-3320,8560,3364,-4720,5
3212,17680,-140,15068,4592,-4312,5
2008,28908,3348,28064,11656,-6404,5
532,32767,6476,32767,19224,-7892,5
-2572,32767,8336,32767,12984,-6604,5
-2156,29096,5052,29820,6764,-1416,5
948,24556,4936,26580,9420,796,5
7284,22540,4700,27552,9752,1664,5
7468,25864,5360,26508,9052,2672,5
3124,31468,8436,26800,7328,2308,5
1972,32516,11028,28588,8312,-36,5
2056,26988,11940,27928,8848,-1720,5
1464,21324,9428,25592,8016,-3756,5
-904,16836,6060,21444,6464,-4404,5
644,14140,4048,16724,5372,-4612,5
520,11412,4372,12748,5076,-4380,5
76,9820,4924,10464,4764,-3668,5
-500,7532,4484,7260,4312,-1788,5
-952,6464,3288,6912,4980,-1248,5
-880,6528,2584,6704,5044,-996,5
-64,7700,2348,6416,4928,-1328,5
1016,9528,2604,6736,5516,-1628,5
1516,11636,3216,7400,5796,-2328,5
1028,13632,3452,8332,6136,-3048,5
680,15176,3188,9696,6804,-3628,5
364,16284,2752,11064,7864,-3772,5
704,16432,3244,12504,8796,-3800,5
1004,15764,3740,13176,10036,-3704,5
1772,14568,4016,13256,10184,-3196,5
2132,13012,3972,12988,10104,-2308,5
2052,11588,3448,12672,9212,-2084,5
1600,10324,3204,11940,8580,-1288,5
1580,9660,2908,11064,7636,-764,5
1408,9260,2948,10392,6612,-432,5
896,9136,2652,10280,5736,-308,5
556,9500,1668,10528,4224,-260,5
248,10956,1324,12768,-1960,1508,5
768,12412,1816,13552,-1564,-3564,5
1112,13176,2488,13796,3588,-4372,5
1024,13452,3432,14904,10212,-4596,5
1428,14604,3468,15016,13832,-5324,5
1848,16248,2988,13920,13788,-4656,5
2216,17980,3112,15100,11300,-4448,5
2516,20796,4324,17332,10836,-4216,5
2644,24276,6272,19308,12128,-3952,5
2236,28204,6832,21884,12964,-4616,5
1096,31388,6908,24984,12096,-5088,5
400,32767,7356,28500,9956,-6228,5
-304,32767,6824,32767,8932,-7756,5
-64,32767,6232,32767,9548,-9196,5
848,32767,5476,32767,9184,-9392,5
1312,32767,4580,32767,7176,-7616,5
1100,32120,4560,32767,6160,-5280,5
1460,29356,4984,30608,6368,-3312,5
964,25260,4056,26328,5700,-1088,5
480,20536,1400,20844,5736,220,5
3056,15420,-1992,14660,5712,540,5
3336,8592,-1856,8472,5616,1008,5
1744,2104,748,3136,5876,748,5
-1624,-6652,1240,-3820,2980,772,5
-2092,-9220,-3576,-4788,2876,52,5
-1076,-9972,-8360,-3952,3016,-604,5
1308,-7692,-10028,-3000,3408,-1444,5
2976,-3076,-7160,-2052,3340,-2192,5
3240,2192,-548,-784,3348,-2624,5
2812,5308,5216,8,3292,-2752,5
1168,6628,7472,368,3440,-2656,5
-8,4292,5832,172,3372,-2052,5
-496,1444,1736,-304,3280,-1576,5
-588,1100,-2684,56,3320,-1416,5
84,2584,-5216,2576,3800,-1584,5
1864,6648,-5116,6732,4100,-2368,5
3608,13052,-1516,14364,5504,-2172,5
4480,23584,3520,26376,12384,-5364,5
5100,32767,5340,32767,15592,-6516,5
-4920,32767,-228,32767,11908,-6804,5
-1940,32767,3668,28960,6944,-3344,5
2044,32767,10288,30808,9404,-2408,5
6672,32767,7456,32767,10708,-2184,5
9184,28800,5760,32767,6676,-844,5
2156,25404,3856,32767,3804,-8,5
2816,24260,3364,28560,5208,-424,5
424,23016,5112,23880,5840,-1312,5
-844,21556,6636,20504,6780,-1920,5
-764,18568,6632,17092,5128,-2168,5
100,14396,5376,13920,4112,-2220,5
744,10408,3176,10944,3356,-2316,5
824,7192,1356,9460,3680,-2744,5
656,4524,332,8984,4352,-3188,5
640,3272,-76,8652,4928,-3388,5
884,3732,612,8160,5600,-3396,5
812,6988,2204,8240,6552,-3440,5
232,10200,3716,8792,7276,-3328,5
-468,14132,5040,10136,7684,-3788,5
-176,18148,6328,11088,7336,-4188,5
580,21292,5312,12328,6988,-4500,5
772,21472,1476,13340,6776,-4688,5
824,17760,-460,13308,6968,-4788,5
1804,13828,724,13168,6772,-4696,5
2140,11472,2448,12312,6752,-4120,5
1892,10368,3952,11220,6248,-3296,5
1508,9612,4820,10044,5364,-2492,5
868,8460,5000,9092,4920,-1700,5
540,7412,4380,8080,4880,-916,5
-4,6520,3332,7336,4980,-440,5
-212,6540,2840,7128,5048,-216,5
188,7792,2236,7628,4664,-520,5
204,9160,2284,8504,4228,-1116,5
280,10632,1936,9820,3836,-1684,5
616,11756,1888,11096,3940,-2488,5
1116,13012,1784,12812,4896,-2872,5
1204,14776,2412,15028,6384,-3476,5
1264,16864,3952,16836,7720,-3784,5
1700,19496,5556,18612,9064,-4208,5
1900,21776,6356,20208,9920,-4660,5
1240,22932,6060,22108,10164,-4108,5
504,23872,5904,23484,7952,-4188,5
376,25900,5592,25948,7036,-5128,5
336,29560,6076,27488,10116,-3168,5
1392,32767,6612,31352,11372,-3284,5
2576,32767,7152,32767,16048,-4312,5
3396,32767,5584,32767,16484,-4512,5
3260,32767,4496,32767,12980,-4252,5
2792,32767,3980,32767,11140,-4056,5
2992,32767,4392,32767,10868,-3544,5
1768,32767,4616,32767,8772,-2588,5
196,28856,3584,29980,5632,-1416,5
-844,22632,1968,23464,3884,-64,5
-600,15864,1008,16532,3460,496,5
44,10352,-128,8992,2736,1496,5
2080,5328,-2352,3140,2364,1864,5
2960,632,-3052,-1464,1204,1344,5
