914,8114,1514,18,-442,282,1778,7218,2116,9,-891,1090,4
990,7910,1566,-20,-318,367,1354,6348,1210,255,-551,1411,4
848,7446,1938,-54,-256,521,964,6606,410,771,-312,1414,4
1016,7278,1860,-143,-67,545,296,8600,444,1066,-241,982,4
1602,7510,1484,-96,627,521,2332,7940,3986,1764,540,682,4
1724,7994,1798,96,764,670,2574,10138,3332,1434,857,213,4
1740,8310,2004,64,711,886,2934,10160,4206,399,1539,528,4
1450,8188,2026,-132,547,1089,1704,9120,3878,-25,1824,712,4
1676,8068,1870,-238,637,1191,882,8780,3892,-278,2003,791,4
1480,8212,1758,-215,895,1261,1016,8394,3788,-451,2049,987,4
860,8470,1828,-141,967,1290,1688,7696,3754,-499,2166,1269,4
-538,8204,1972,-211,633,1240,1614,8070,6014,-282,3286,1311,4
-542,8010,2148,-320,433,1162,1154,8544,6874,-1221,3921,1664,4
-248,7774,2232,-383,325,1097,562,11852,6276,-3422,4343,1772,4
-84,7778,2362,-434,315,1009,438,11778,5098,-5569,4401,2120,4
176,7804,2496,-589,265,905,852,10014,4808,-6863,4501,2498,4
494,7840,2442,-784,186,826,1962,6670,5622,-7051,4865,2867,4
760,7938,2306,-957,108,767,2240,5630,6060,-6915,5006,3305,4
870,7974,2138,-982,40,776,2088,4780,5446,-6910,5019,3613,4
824,7968,2106,-990,-91,771,2040,7418,5008,-8183,4774,4261,4
530,7784,2076,-963,-292,733,1050,8216,4160,-10076,4063,5147,4
462,7626,2208,-971,-507,618,548,4112,2912,-10141,3053,5816,4
556,7584,2012,-979,-683,494,34,2362,2194,-8603,2281,5982,4
574,7530,1842,-965,-861,407,-148,2488,2522,-6856,1761,5554,4
546,7388,1638,-870,-960,320,308,4584,4380,-5952,1523,5052,4
440,7408,1530,-698,-1008,208,822,6410,6292,-6166,1113,5095,4
574,7370,1504,-488,-1063,101,1490,8092,6642,-6653,194,4967,4
770,7448,1996,-348,-1172,-4,2414,6204,5636,-5822,-202,4486,4
1098,7440,2208,-290,-1255,-89,2586,4732,4922,-4164,-275,3697,4
1238,7242,2248,-297,-1375,-126,2382,3864,5084,-2070,-50,2713,4
1350,7100,2208,-324,-1482,-131,1660,3268,4648,-765,-174,2104,4
1480,7034,2116,-348,-1554,-118,1516,4200,4530,-714,-553,1549,4
1450,7060,1926,-331,-1559,-127,1882,4212,4184,-1008,-847,1301,4
1272,6934,1730,-260,-1540,-166,2154,2782,4052,-1101,-1104,1401,4
1108,6820,1552,-108,-1566,-234,2380,2604,4470,-1018,-1299,1333,4
1098,6866,1488,95,-1623,-305,2618,3244,5064,-938,-1477,1125,4
1056,7180,1606,291,-1698,-372,2976,2864,5694,-835,-1548,1082,4
926,7448,1736,388,-1729,-451,3048,2316,6314,-515,-1593,1096,4
906,7554,1586,444,-1766,-534,3328,2296,6366,-269,-1630,1045,4
1018,7394,1318,543,-1779,-625,3612,1246,6078,172,-1626,1084,4
1160,7180,1258,705,-1804,-697,3898,1682,5792,744,-1442,1005,4
1272,7136,1156,893,-1836,-750,3872,2572,5904,721,-1361,1003,4
830,7062,984,977,-1870,-819,4078,2378,6242,383,-1447,1144,4
756,6982,856,1006,-1916,-921,5048,2154,6796,246,-1490,1144,4
476,6882,592,1083,-1902,-1015,4966,1018,6846,862,-1478,1025,4
-90,7250,468,1151,-1901,-1135,4518,2066,5750,1293,-1411,633,4
-398,7962,452,1156,-1951,-1210,4342,2120,5988,1179,-1403,642,4
-470,8814,354,1094,-1975,-1263,5238,2360,6028,501,-1456,942,4
-384,9332,124,925,-1945,-1286,5802,1920,6270,-120,-1567,1274,4
-364,9362,-146,756,-1902,-1320,6156,2990,6068,-647,-1587,1256,4
6,9438,-404,647,-1832,-1334,6880,3282,6978,-992,-1386,1244,4
356,9798,-268,620,-1776,-1278,7574,3754,7554,-1063,-1127,1100,4
498,10308,194,422,-1731,-1139,8786,4084,7678,-755,-734,750,4
222,10038,490,51,-1642,-1040,9468,5754,8090,-682,30,48,4
-382,9280,280,-312,-1577,-1037,10016,8026,9080,-1504,1012,-639,4
-732,8520,-114,-502,-1563,-1080,9702,8958,9126,-2713,1560,-1156,4
-946,8090,-332,-540,-1594,-1086,9692,8120,9660,-3343,2042,-1790,4
-1114,7796,-530,-516,-1738,-1045,8476,5728,8618,-2644,2458,-2658,4
-1172,7844,-500,-438,-1856,-989,6870,5146,7620,-1678,3109,-3699,4
-1110,8016,-390,-432,-1997,-853,4824,6844,6544,-1743,2483,-4440,4
-1292,8252,-192,-478,-2161,-685,2990,6298,4742,-2153,1906,-5296,4
-1458,8208,-160,-530,-2225,-509,1066,4206,3046,-2106,1185,-5957,4
-1776,8056,-242,-468,-2343,-336,-416,2910,1914,-1549,372,-6714,4
-1940,8058,-124,-396,-2498,-205,-1118,2614,1334,-1215,-835,-7367,4
-2224,8044,-34,-395,-2597,-107,-778,3002,1746,-1189,-1906,-7849,4
-2782,7800,-102,-401,-2687,-43,4,3138,1520,-1420,-2927,-8185,4
-3260,7594,-82,-344,-2829,-57,1008,3406,1296,-1774,-3857,-8333,4
-3736,7788,-80,-340,-3088,-117,2064,3556,1062,-2023,-4591,-8176,4
-3582,8122,-6,-452,-3366,-197,3088,4120,1344,-2030,-5254,-7926,4
-3568,8170,-324,-651,-3598,-310,4540,6050,2242,-2140,-5584,-7781,4
-3046,7722,-818,-741,-3814,-423,5670,7562,2882,-2328,-5541,-7503,4
-2554,7146,-1052,-644,-3959,-502,6150,7990,2942,-2285,-5385,-7198,4
-2194,6858,-908,-506,-4134,-531,6282,7482,2466,-2028,-5171,-6942,4
-2062,7040,-706,-453,-4307,-549,6008,6230,1670,-1448,-4994,-6696,4
-2222,7362,-734,-485,-4381,-566,5610,5216,1464,-616,-4853,-6447,4
-2474,7616,-716,-519,-4431,-600,6250,8072,2748,-805,-4373,-6214,4
-2474,7506,-458,-504,-4417,-639,5872,9554,2940,-2037,-4380,-5981,4
-2580,7068,-344,-476,-4369,-699,5932,9180,2762,-3002,-4347,-5620,4
-2558,6810,20,-401,-4342,-776,6050,7740,2258,-3545,-4490,-5163,4
-2762,6986,224,-397,-4368,-874,6216,5800,1222,-3319,-4462,-4873,4
-2552,7228,206,-413,-4370,-928,6746,4760,1070,-2609,-3956,-4655,4
-2642,7618,46,-382,-4248,-925,6994,7440,2374,-2676,-3618,-4389,4
-2724,7720,-328,-360,-4247,-894,7214,8562,2768,-3610,-3562,-4076,4
-2464,7500,-364,-366,-4148,-874,7646,7624,3096,-4032,-3204,-3844,4
-2228,7384,-128,-140,-3950,-925,7438,6192,2890,-3849,-2863,-3620,4
-1888,8160,444,-90,-3886,-981,7026,4648,2582,-3331,-2715,-3380,4
-726,8692,724,-65,-3928,-969,6998,4032,2640,-2606,-2587,-3099,4
258,9084,476,-78,-3896,-860,6844,3162,2516,-1744,-2566,-2851,4
896,9286,-44,77,-3751,-733,6632,2306,2542,-704,-2643,-2492,4
1392,9784,-316,327,-3548,-621,6576,1212,2488,497,-2897,-1974,4
1758,10456,-226,606,-3313,-544,6780,248,1956,1821,-3295,-1405,4
2302,10828,330,803,-3325,-466,7184,-450,1576,3282,-3735,-922,4
3210,10410,750,770,-3575,-236,7864,-92,1636,4743,-3970,-610,4
3714,9758,984,587,-3682,131,8548,1218,1830,5699,-4084,-590,4
3208,9148,862,402,-3610,341,9092,1848,1786,6560,-4382,-499,4
2450,8472,550,327,-3212,376,9894,2944,1874,7089,-4889,-82,4
1596,7952,314,366,-2762,336,11430,5194,1972,6249,-4428,514,4
1004,7522,-6,458,-2613,323,12080,5542,2992,4321,-3721,1353,4
1072,7314,-346,555,-2665,360,11760,5970,3622,2149,-3517,2865,4
1274,7066,-334,643,-2778,427,11468,4992,3426,-347,-3256,3951,4
1734,6894,-112,678,-2889,532,10678,3354,3020,-2084,-2831,4652,4
2420,6720,-20,682,-2828,666,9906,1902,2226,-2922,-2573,4976,4
2808,6792,42,615,-2643,823,9206,656,1618,-3105,-2379,5222,4
2862,6944,-44,436,-2508,975,9104,2,1608,-2928,-2396,5356,4
2780,7004,-444,274,-2517,1054,9946,-694,1528,-2341,-2173,5245,4
2622,6942,-770,242,-2574,1073,9914,-502,2030,-1711,-1760,4959,4
2600,6936,-852,345,-2562,1122,9902,-750,2098,-972,-1451,4681,4
2682,7204,-542,465,-2418,1175,9896,-252,1990,329,-1023,4322,4
2434,7700,-166,482,-2198,1194,9574,858,1842,1000,-705,4128,4
2466,7936,254,417,-1976,1200,9812,926,1552,1331,-466,4164,4
2586,8338,760,317,-1797,1268,10112,1374,1332,1441,-228,4280,4
2374,9134,932,112,-1811,1356,10368,2400,1432,1165,-128,4545,4
2460,9474,836,-182,-1919,1412,10744,2688,1512,605,45,4753,4
2212,8866,426,-406,-1939,1441,10898,2978,1780,40,255,4896,4
2016,7936,170,-411,-1942,1419,10846,2652,1822,-521,464,4845,4
