788,8342,2688,215,-77,-97,6472,4120,-694,536,44,640,3
888,8126,2576,26,-86,-92,6392,4592,-600,1038,243,683,3
888,7960,2664,-120,-65,-99,6320,4930,-452,1263,386,677,3
740,8084,2922,-276,-67,-121,6468,5232,-280,1362,526,621,3
514,8106,3040,-680,-40,-217,6658,5208,-524,1441,641,351,3
522,7678,2528,-1178,-227,-416,6830,5066,-1004,798,311,-142,3
692,7824,2508,-1214,-310,-429,6742,5098,-1038,738,197,-326,3
570,8720,2492,-1288,-449,-411,6992,5334,-1036,531,39,-420,3
392,8814,2526,-1418,-557,-375,7574,5290,-1132,231,-62,-430,3
120,8506,2348,-1514,-567,-387,7778,5378,-744,473,-149,-465,3
68,9416,1638,-1464,-515,-399,9100,5986,-718,439,-870,0,3
-2,10446,1358,-1487,-352,-349,9614,5412,-1556,-1485,69,-13,3
-506,10412,1392,-1390,-270,-367,10344,4820,-1910,-1650,-95,147,3
-200,9220,1316,-962,-224,-441,10642,6398,-2302,-2474,356,313,3
-44,7682,1054,-541,-371,-372,10236,6054,-2648,-3687,-73,797,3
76,7020,456,-82,-386,-303,8328,5276,-2674,-5024,-41,920,3
-310,6602,340,274,-419,-222,7178,3622,-2606,-5269,-232,689,3
-626,6170,734,434,-537,-113,6236,2464,-2478,-4379,-202,-68,3
-946,5982,1090,305,-660,-13,5514,2234,-2522,-3679,-343,-667,3
-1186,5790,1024,72,-716,-5,5382,1506,-2510,-2753,-460,-1283,3
-1096,6082,982,-23,-642,-95,5824,1654,-2578,-1664,-601,-1660,3
-732,6748,910,45,-518,-199,6576,2508,-2610,-1124,-601,-1824,3
-372,8032,1082,208,-345,-262,7104,2868,-2624,-958,-554,-1640,3
-86,9948,1136,381,-101,-241,7982,3270,-2756,-939,-453,-1275,3
-372,10332,1952,265,55,-199,8500,3656,-2828,-1142,-212,-841,3
-540,8980,2118,-68,17,-262,8322,3814,-2920,-1341,142,-372,3
-260,8202,1412,-107,51,-208,7664,3646,-2820,-1292,422,81,3
-456,7972,1400,20,70,-68,7106,3400,-2678,-1045,624,449,3
-554,7742,1818,36,34,37,6756,2974,-2584,-675,771,564,3
-600,7662,1894,-65,71,78,6644,2622,-2524,-154,814,366,3
-682,7502,1564,-222,141,98,6688,2574,-2624,418,809,97,3
-772,7258,918,-259,277,79,6790,2690,-2696,903,776,-194,3
-918,7042,758,-131,489,85,6838,3230,-2612,982,529,-405,3
-760,7434,930,-140,570,158,6932,3620,-2464,668,374,-420,3
-648,7808,1182,-226,641,251,7194,3720,-2300,244,240,-379,3
-616,7948,1366,-343,749,322,7442,3680,-2386,-63,184,-338,3
-610,7846,1310,-495,877,396,7498,3626,-2308,-198,181,-295,3
-568,7598,1170,-566,1040,451,7476,3444,-2248,-252,233,-258,3
-618,7502,1260,-534,1226,486,7490,3370,-2274,-129,318,-259,3
