-824,14704,3088,32767,17784,-5680,4
-1136,15208,3172,25692,18848,-3148,4
-128,16716,2848,15760,13932,-756,4
1540,17740,3008,12080,13148,2384,4
1284,15788,3416,8976,9896,4340,4
-100,14180,2036,8236,8540,3036,4
-644,13760,2056,7952,8168,2524,4
-1368,14300,2824,8520,6564,2924,4
-860,14820,2756,9272,6684,3296,4
-200,14992,2184,9584,5432,2896,4
-324,15520,2468,10320,6764,2284,4
-476,15804,2960,10632,8356,1688,4
-456,16220,3640,10044,8108,1508,4
4,16772,3968,10580,7756,1464,4
508,17028,3704,11724,8392,1280,4
548,16084,2964,12660,10324,1208,4
-108,15608,2468,13992,14452,1536,4
-832,16036,3100,14936,16336,1840,4
-740,15932,3184,15356,16576,2068,4
-324,15540,3020,15180,15340,1876,4
-128,15212,2932,14700,13680,1804,4
-84,15188,2552,13868,11760,2144,4
-272,15408,2672,12968,10824,1900,4
-188,15740,2908,12428,10520,2004,4
-148,15672,3040,12136,10240,2096,4
-84,15516,3004,12116,10504,2340,4
-128,15492,3104,11980,10188,2092,4
-128,15876,3428,11908,10448,2148,4
-844,16224,2952,11968,10548,2260,4
-824,15644,2732,12280,10620,2408,4
328,14768,2252,12304,10876,2576,4
-248,15356,2484,12264,10764,2384,4
-592,15868,3040,12132,10568,2320,4
-472,16192,3416,12092,10528,2240,4
-136,16124,3376,11964,10696,2672,4
-248,15956,2980,12024,10644,2956,4
-264,15848,2616,11820,10472,2988,4
-148,15340,2268,11820,10820,2988,4
-324,15308,2304,11992,10896,2980,4
-380,15668,2852,11984,11092,2628,4
-296,15992,3008,12048,10768,2356,4
68,15948,2912,12408,10572,2268,4
336,15844,2744,12496,10400,2240,4
44,15832,3016,12604,10440,2464,4
-20,15960,2992,12496,10504,2188,4
116,15932,2992,12436,10576,2112,4
220,15424,2908,12632,10256,1940,4
60,15464,2936,12492,10256,1892,4
80,15480,2940,12564,10100,1692,4
260,15456,2752,12444,9988,1612,4
496,15424,2440,12612,10120,1872,4
540,15732,2728,12808,10128,1844,4
768,16052,3200,12604,10244,1696,4
80,16420,3500,12780,10064,1688,4
752,15224,2848,12808,9996,1836,4
1312,14888,2152,12720,10056,1908,4
656,15804,2988,12876,10236,1880,4
192,16136,3540,12988,10204,1664,4
536,15860,2916,13144,9992,1880,4
744,15500,2476,13016,10200,1972,4
780,15208,2536,12848,9960,1868,4
452,15252,2624,12860,9844,2116,4
488,15336,2740,12720,9636,2228,4
708,15440,2884,12624,9960,1988,4
684,15400,2604,12672,9692,1660,4
936,15312,2460,13028,9708,1664,4
656,15812,3128,13120,9920,1552,4
764,15796,2932,13220,9936,1672,4
868,15496,2552,13040,9844,1636,4
800,15292,2388,13124,9852,1604,4
656,15200,2224,12884,9880,1564,4
676,15164,2480,13020,9940,1540,4
676,15552,2840,13092,9964,1728,4
620,15740,2776,13092,9896,1560,4
736,15572,2996,12984,9768,1612,4
548,15656,2992,13072,9824,1672,4
524,15700,2988,13016,9760,1652,4
52,15912,2860,13100,9880,1840,4
284,15900,3064,12972,9940,1824,4
936,14904,2076,12912,9948,1888,4
1004,15296,2340,13028,10012,1808,4
408,16220,3312,13044,10068,1824,4
376,16316,3688,12908,9976,1720,4
652,16148,3304,13000,9792,1880,4
640,16236,2956,12944,9856,1988,4
552,15836,2596,12960,9832,1976,4
640,15488,2584,12852,9960,2160,4
